time: <class 'datetime.datetime'>index, node loc, heuristic
202, (192.373992    45.6443824    1.04719755), 339.59803750725575
203, (192.63579139  46.09783224   1.04719755), 340.121636282854
204, (192.89759078  46.55128209   1.04719755), 339.6485401412528
205, (193.15939017  47.00473193   1.04719755), 340.17213891685105
206, (193.42118955  47.45818177   1.04719755), 339.62021729922924
207, (193.81388864  48.13835653   1.15191731), 340.4056154626267
208, (194.02685544  48.61668781   1.15191731), 339.9321041854988
209, (194.23982225  49.0950191    1.15191731), 340.3826506336831
210, (194.45278906  49.57335038   1.15191731), 339.90871048823715
211, (194.66575587  50.05168166   1.15191731), 340.4323092638354
212, (195.09168949  51.00834423   1.15191731), 340.4819995312025
213, (195.30465629  51.48667551   1.15191731), 339.9400997404801
214, (195.62410651  52.20417244   1.25663706), 340.72549790387757
215, (195.78590743  52.70214446   1.25663706), 340.25121200941436
216, (195.94770835  53.20011649   1.25663706), 340.7748107850126
217, (196.10950927  53.69808852   1.25663706), 340.3005526344259
218, (196.27131019  54.19606055   1.25663706), 340.7617734587315
219, (196.59491203  55.1920046    1.25663706), 340.8107309051966
220, (196.75671295  55.68997663   1.25663706), 340.3361129786005
221, (196.91851387  56.18794866   1.25663706), 340.85971175419877
222, (197.08031479  56.68592068   1.25663706), 340.3851176996359
223, (197.24211571  57.18389271   1.25663706), 340.85176241365525
224, (197.56571754  58.17983677   1.25663706), 340.90040792936486
225, (197.72751846  58.67780879   1.25663706), 340.4254743263248
226, (197.88931938  59.17578082   1.25663706), 340.94907310192303
227, (198.0511203   59.67375285   1.25663706), 340.47415955844247
228, (198.21292122  60.17172487   1.25663706), 340.94645641544685
229, (198.37472214  60.6696969    1.25663706), 340.47121048393603
230, (198.53652306  61.16766893   1.25663706), 340.9948092595343
231, (198.69832398  61.66564096   1.25663706), 340.5195793455763
232, (198.8601249   62.16361298   1.25663706), 341.04317812117455
233, (199.02192582  62.66158501   1.25663706), 340.5679645600069
234, (199.18372674  63.15955704   1.25663706), 341.04615595110715
235, (199.34552766  63.65752907   1.25663706), 340.57063998727375
236, (199.50732858  64.15550109   1.25663706), 341.094238762872
237, (199.83093042  65.15144515   1.25663706), 341.1423341146186
238, (199.99273134  65.64941718   1.25663706), 340.66684349897486
239, (200.15453226  66.1473892    1.25663706), 341.1904422745731
240, (200.4781341   67.14333326   1.25663706), 341.19902636717404
241, (200.63993502  67.64130529   1.25663706), 340.7232761590667
242, (200.80173594  68.13927731   1.25663706), 341.24687493466496
243, (200.96353686  68.63724934   1.25663706), 340.7711342210307
244, (201.12533778  69.13522137   1.25663706), 341.29473299662897
245, (201.44893962  70.13116542   1.25663706), 341.3095308480922
246, (201.61074054  70.62913745   1.25663706), 340.83356506894876
247, (201.77254146  71.12710948   1.25663706), 341.357163844547
248, (201.93434238  71.62508151   1.25663706), 340.88120456027866
249, (202.0961433   72.12305353   1.25663706), 341.4048033358769
250, (202.41974514  73.11899759   1.25663706), 341.4261429720017
251, (202.58154606  73.61696962   1.25663706), 340.949997971713
252, (202.74334698  74.11494164   1.25663706), 341.47359674731126
253, (202.9051479   74.61291367   1.25663706), 340.9974556573148
254, (203.06694882  75.1108857    1.25663706), 341.52105443291305
255, (203.22874974  75.60885773   1.25663706), 341.0256902712739
256, (203.39055066  76.10682975   1.25663706), 341.54928904687216
257, (203.55235158  76.60480178   1.25663706), 341.073007061724
258, (203.7141525   77.10277381   1.25663706), 341.5966058373223
259, (203.87595342  77.60074584   1.25663706), 341.12032571494905
260, (204.03775434  78.09871786   1.25663706), 341.6439244905473
261, (204.19955526  78.59668989   1.25663706), 341.15583616655573
262, (204.36135618  79.09466192   1.25663706), 341.679434942154
263, (204.68495802  80.09060597   1.25663706), 341.7266637379804
264, (204.84675894  80.588578     1.25663706), 341.2502942580988
265, (205.00855986  81.08655003   1.25663706), 341.77389303369705
266, (205.3321617   82.08249408   1.25663706), 341.8170906488916
267, (205.49396262  82.58046611   1.25663706), 341.34068942448994
268, (205.65576354  83.07843814   1.25663706), 341.8642882000882
269, (205.97936538  84.07438219   1.25663706), 341.9114857512848
270, (206.30296722  85.07032625   1.25663706), 341.9586833024814
271, (206.46476814  85.56829828   1.25663706), 341.4864486724109
272, (206.62656906  86.0662703    1.25663706), 342.0100474480092
273, (206.9501709   87.06221436   1.25663706), 342.0572800113725
274, (207.27377274  88.05815841   1.25663706), 342.10451316813067
275, (207.43557366  88.55613044   1.25663706), 341.6409675002048
276, (207.59737458  89.05410247   1.25663706), 342.16456627580305
277, (207.92097642  90.05004652   1.25663706), 342.21191115664976
278, (208.24457826  91.04599058   1.25663706), 342.25925859917515
279, (208.5681801   92.04193463   1.25663706), 342.3285330133468
280, (208.72998102  92.53990666   1.25663706), 341.8524809306444
281, (208.89178194  93.03787869   1.25663706), 342.37607970624265
282, (209.21538378  94.03382274   1.25663706), 342.4236326304885
283, (209.53898562  95.0297668    1.25663706), 342.50270750357527
284, (209.86258746  96.02571085   1.25663706), 342.55055961218005
285, (210.1861893   97.02165491   1.25663706), 342.5984237190063
286, (210.50979114  98.01759896   1.25663706), 342.68793025700836
287, (210.67159206  98.51557099   1.25663706), 342.21260896980306
288, (210.83339298  99.01354302   1.25663706), 342.7362077454013
289, (210.9951939   99.51151504   1.25663706), 342.26090680075055
290, (211.15699482 100.00948707   1.25663706), 342.7845055763488
291, (211.31879574 100.5074591    1.25663706), 342.36153420377724
292, (211.48059666 101.00543113   1.25663706), 342.8851329793755
293, (211.8041985  102.00137518   1.25663706), 342.9339748176668
294, (211.96599942 102.49934721   1.25663706), 342.4592497280309
295, (212.2087008  103.24630525   1.36135682), 343.2446478914283
296, (212.37199426 104.01454058   1.46607657), 343.09535070319293
297, (212.42672523 104.53527103   1.46607657), 342.6213192073979
298, (212.48145621 105.05600147   1.46607657), 343.14491798299616
299, (212.59091816 106.09746237   1.46607657), 343.1945324856719
300, (212.64564913 106.61819281   1.46607657), 342.7205968596042
301, (212.70038011 107.13892326   1.46607657), 343.24419563520246
302, (212.75511108 107.65965371   1.46607657), 342.7703101377321
303, (212.80984206 108.18038415   1.46607657), 343.29390891333037
304, (212.91930401 109.22184505   1.46607657), 343.34367386251324
305, (213.00140047 110.00294072   1.57079633), 343.1316927012622
306, (213.00140047 111.05013827   1.57079633), 343.26026728751435
307, (213.00140047 111.57373704   1.57079633), 342.787430341958
308, (213.00140047 112.09733582   1.57079633), 343.31102911755625
