time: <class 'datetime.datetime'>index, node loc, heuristic
96, (108.          48.57939174  -1.04719755), 233.9247159470736
97, (108.5         48.57939174  -1.04719755), 233.5756602041446
98, ( 1.09500000e+02  4.85793917e+01 -8.70414851e-14), 233.54809671194118
99, (110.          49.48629142  -1.04719755), 233.5244548966251
100, (109.5        50.3931911  -2.0943951), 233.17205026968497
101, ( 1.10500000e+02  5.03931911e+01 -8.97060204e-14), 232.8211452355431
102, (111.          51.30009078  -1.04719755), 232.79658962697843
103, (111.5         51.30009078  -1.04719755), 232.4447429465692
104, ( 1.12500000e+02  5.13000908e+01 -9.23705556e-14), 232.42172818150257
105, (113.          52.20699046  -1.04719755), 232.40275150758535
106, (112.5         53.11389015  -2.0943951 ), 232.0474797365213
107, ( 1.13500000e+02  5.31138901e+01 -9.50350909e-14), 231.6937148162078
108, (114.          54.02078983  -1.04719755), 231.67385851610248
109, (114.5         54.02078983  -1.04719755), 231.31911661356077
110, (115.          55.83458919   1.04719755), 231.30087918101827
111, (115.5         57.64838856  -1.04719755), 230.94514812328097
112, ( 1.16500000e+02  5.76483886e+01 -9.94759830e-14), 229.216627377397
113, (117.          58.55528824  -1.04719755), 229.19916039170545
114, (116.5         59.46218792  -2.0943951 ), 228.8429515575195
115, ( 1.17500000e+02  5.94621879e+01 -1.02140518e-13), 228.48830369355676
116, (118.          60.3690876   -1.04719755), 228.46993869888027
117, (117.5         61.27598728  -2.0943951 ), 228.11426826773743
118, ( 1.18500000e+02  6.12759873e+01 -1.04805054e-13), 227.7601848778319
119, (119.          62.18288697  -1.04719755), 227.74089871371942
120, (118.5         63.08978665  -2.0943951 ), 227.38578195294843
121, ( 1.19500000e+02  6.30897866e+01 -1.07469589e-13), 227.0322791533221
122, ( 1.20500000e+02  6.30897866e+01 -1.08357767e-13), 227.01204775557707
123, ( 1.21500000e+02  6.30897866e+01 -1.09245946e-13), 226.9962235218677
124, ( 1.22500000e+02  6.30897866e+01 -1.10134124e-13), 226.98484778912274
125, ( 1.23500000e+02  6.30897866e+01 -1.11022302e-13), 226.97796204963143
126, ( 1.24500000e+02  6.30897866e+01 -1.11910481e-13), 226.97560794215707
127, ( 1.25500000e+02  6.30897866e+01 -1.12798659e-13), 226.97782724271815
128, (125.          64.90358601   2.0943951 ), 226.9846618550347
129, (125.5         67.62428506  -1.04719755), 227.10996279441184
130, (126.          69.43808442   1.04719755), 224.51175505272332
131, (125.5         72.15878347  -2.0943951 ), 223.28466338652817
132, ( 1.26500000e+02  7.21587835e+01 -1.17239551e-13), 221.2063143045411
133, (127.          73.06568315  -1.04719755), 221.19324484281788
134, (127.5         73.06568315  -1.04719755), 220.83432646844463
135, (128.          74.87948252   1.04719755), 220.82318807016765
136, (127.5         77.60018156  -2.0943951 ), 220.46311029229332
137, ( 1.28500000e+02  7.76001816e+01 -1.21680443e-13), 218.39329538041386
138, (128.          79.41398093  -2.0943951 ), 218.37536610833797
139, ( 1.29000000e+02  7.94139809e+01 -1.23456800e-13), 217.68906842274163
140, (128.5         81.22778029  -2.0943951 ), 217.6651617681029
141, ( 1.29500000e+02  8.12277803e+01 -1.25233157e-13), 216.46232390586277
142, (129.          83.04157966  -2.0943951 ), 216.43727170158274
143, ( 1.30000000e+02  8.30415797e+01 -1.27009514e-13), 215.76711336961034
144, (129.5         84.85537902  -2.0943951 ), 215.7358688706476
145, ( 1.30500000e+02  8.48553790e+01 -1.28785871e-13), 215.38806808127822
146, (130.          86.66917838  -2.0943951 ), 215.35870187663275
147, ( 1.31000000e+02  8.66691784e+01 -1.30562228e-13), 214.69844191774922
148, (130.5         88.48297775  -2.0943951 ), 214.6627171641441
149, ( 1.31500000e+02  8.84829777e+01 -1.32338585e-13), 213.47481786280562
150, (131.          90.29677711  -2.0943951 ), 213.43771162512041
151, ( 1.32000000e+02  9.02967771e+01 -1.34114941e-13), 212.7953021774598
152, (131.5         92.11057648  -2.0943951 ), 212.75159962501354
153, ( 1.32500000e+02  9.21105765e+01 -1.35891298e-13), 211.57405376311175
154, (133.          93.01747616  -1.04719755), 211.52880732393342
155, (133.5         93.01747616  -1.04719755), 211.1899397860587
156, ( 1.34500000e+02  9.30174762e+01 -1.38555833e-13), 211.1465358167459
157, ( 1.35500000e+02  9.30174762e+01 -1.39444012e-13), 211.10844618650805
158, ( 1.36500000e+02  9.30174762e+01 -1.40332190e-13), 211.07573584879245
159, ( 1.37500000e+02  9.30174762e+01 -1.41220369e-13), 211.04847015454038
160, ( 1.38500000e+02  9.30174762e+01 -1.42108547e-13), 211.0267148332736
161, ( 1.39500000e+02  9.30174762e+01 -1.42996726e-13), 211.01053597315428
162, ( 1.40500000e+02  9.30174762e+01 -1.43884904e-13), 211.0
163, ( 1.41500000e+02  9.30174762e+01 -1.44773082e-13), 210.99517365523704
164, ( 1.42500000e+02  9.30174762e+01 -1.45661261e-13), 210.9961239727768
165, (142.          94.83127552   2.0943951 ), 211.00291825480073
166, (142.5         97.55197457  -1.04719755), 211.1288414058287
167, ( 1.43500000e+02  9.75519746e+01 -1.48325796e-13), 208.53199590504823
168, (143.          99.36577393  -2.0943951 ), 208.5311206084648
169, ( 1.44000000e+02  9.93657739e+01 -1.50102153e-13), 207.8085560697229
170, (143.5       101.1795733  -2.0943951), 207.80065146407003
171, ( 1.44500000e+02  1.01179573e+02 -1.51878510e-13), 206.57848694132247
